Crop,Temperature,Humidity,pH,Rainfall,Nitrogen,Phosphorus,Potassium,Soil_Moisture
Rice,28,80,6.5,120,90,40,40,20
Wheat,20,60,6.8,100,80,42,38,15
Maize,26,70,6.0,110,100,50,50,18
Bajra,30,65,7.2,80,60,30,40,10
Jowar,28,60,6.8,85,70,35,45,12
Ragi,25,55,6.2,75,65,32,42,11
Barley,18,55,7.0,95,88,41,36,14
Cotton,32,50,7.0,60,55,28,35,12
Sugarcane,30,80,6.5,150,105,52,48,25
Soybean,27,65,6.3,95,92,46,44,18
Groundnut,28,60,6.0,80,70,32,36,13
Mustard,20,50,6.8,65,80,37,40,12
Sunflower,24,55,7.0,60,85,38,42,13
Chickpea,18,40,7.2,60,62,28,35,9
Pigeon pea,22,60,6.5,70,72,34,38,11
Lentil,16,45,6.8,55,60,25,32,9
Potato,18,70,5.8,85,110,48,52,16
Tomato,23,75,6.2,90,90,44,46,17
Onion,24,60,6.5,65,80,39,40,13
